"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"184","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","80434.45082862706","294.79057921276467"
"185","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","74863.5747707469","210.88888622995216"
"186","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","75583.99099571044","465.23748355637537"
"187","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","81352.21410386085","205.9492764029018"
"183","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","75245.38077671605","103.45421341964669"
"188","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","80719.8791193951","197.27564939707594"
"182","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","68476.43481990887","364.97988272782163"
"189","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","80207.53660310201","274.859329769901"
"190","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","63180.231232935956","243.20550546928925"
"191","0.1","""exp utility""","0.01","0.09","10","""neighbors""","1","25","100","1","""wealth""","24","84438.39115491252","304.3588696325898"
